Student Number,Age,Gender,Residency,Class Standing,Scholarship,Study_Hours_Per_Week,Attendance_Rate,Y1_GWA,Y2_GWA,Y3_GWA,Y4_GWA,GPA_Trend,Final_GWA,Performance_Category
22-13932,24,Male,Dorm,Regular,Yes,21,96,1.83,1.57,1.51,1.7,Stable,1.66,Good
22-13933,21,Female,Family House,Regular,No,17,85,1.87,1.81,1.85,1.55,Improving,1.8,Good
22-13934,20,Female,Family House,Regular,No,27,84,1.93,1.83,2.01,1.85,Stable,1.91,Good
22-13935,20,Female,Family House,Regular,No,27,83,1.79,1.67,1.85,1.8,Stable,1.77,Good
22-13936,22,Male,Family House,Regular,No,31,99,1.65,1.42,1.76,1.9,Stable,1.66,Good
22-13937,24,Female,Family House,Regular,No,17,76,2.24,2.24,2.29,2.4,Stable,2.28,At-Risk
22-13938,24,Male,Dorm,Irregular,Yes,16,83,2.07,2.24,1.83,1.95,Stable,2.03,Good
22-13939,21,Male,Family House,Irregular,Yes,34,96,2.07,1.44,1.72,1.62,Improving,1.74,Good
22-13940,24,Male,Family House,Regular,No,33,90,1.51,1.86,1.74,1.55,Stable,1.67,Good
22-13941,21,Female,Dorm,Regular,No,17,85,2.12,2.01,2.31,2.1,Stable,2.14,At-Risk
22-13942,21,Male,Family House,Regular,No,17,76,2.19,2.22,2.12,2.33,Stable,2.2,At-Risk
22-13943,21,Male,Family House,Regular,No,26,93,1.85,1.81,1.57,1.98,Stable,1.78,Good
22-13944,22,Male,Dorm,Regular,Yes,32,92,1.52,1.65,1.46,1.6,Stable,1.55,Excellent
22-13945,20,Male,Family House,Regular,No,27,82,1.79,1.88,2.08,1.9,Stable,1.91,Good
22-13946,20,Female,Family House,Irregular,No,12,78,2.08,2.1,1.78,2.4,Declining,2.05,Good
22-13947,21,Female,Dorm,Regular,No,20,86,1.94,1.71,1.72,1.75,Stable,1.79,Good
22-13948,24,Female,Family House,Regular,No,24,90,1.73,1.56,1.9,1.85,Stable,1.75,Good
22-13949,23,Male,Family House,Regular,Yes,22,85,2.24,2.15,2.1,2.17,Stable,2.17,At-Risk
22-13950,20,Female,Dorm,Regular,Yes,29,95,1.73,1.99,1.74,1.68,Stable,1.79,Good
22-13951,23,Male,Dorm,Regular,No,11,78,2.35,2.1,2.06,2.4,Stable,2.21,At-Risk
22-13952,24,Male,Family House,Regular,No,20,81,2.12,2.26,2.28,2.02,Stable,2.19,At-Risk
22-13953,22,Male,Family House,Irregular,Yes,27,88,2.02,1.47,1.71,1.4,Improving,1.7,Good
22-13954,23,Female,Family House,Regular,Yes,40,96,1.61,1.51,1.61,1.52,Stable,1.57,Excellent
22-13955,24,Male,Dorm,Regular,No,26,91,2.05,1.99,1.72,1.75,Stable,1.9,Good
22-13956,21,Male,Family House,Irregular,No,36,100,2.33,1.47,1.56,1.5,Improving,1.77,Good
22-13957,20,Male,Dorm,Regular,No,23,81,1.8,1.9,2.12,1.9,Stable,1.93,Good
22-13958,24,Female,Family House,Regular,No,30,82,1.71,1.83,1.85,1.98,Stable,1.82,Good
22-13959,21,Female,Family House,Regular,Yes,21,83,1.74,1.86,1.72,2.05,Declining,1.81,Good
22-13960,23,Male,Family House,Regular,Yes,12,84,2.02,2.08,2.19,2.12,Stable,2.1,Good
22-13961,21,Female,Family House,Regular,Yes,10,83,1.95,2.15,1.99,2.0,Stable,2.02,Good
22-13962,22,Female,Dorm,Regular,Yes,29,91,1.74,1.72,1.92,1.95,Stable,1.81,Good
22-13963,21,Male,Family House,Regular,No,32,99,1.61,1.43,1.56,1.45,Stable,1.52,Excellent
22-13964,22,Male,Dorm,Regular,No,16,81,1.87,2.03,1.72,2.02,Stable,1.9,Good
22-13965,23,Female,Family House,Regular,No,36,91,1.6,1.51,1.78,1.35,Stable,1.59,Excellent
22-13966,21,Male,Dorm,Regular,No,29,84,1.93,1.94,1.88,1.98,Stable,1.93,Good
22-13967,23,Female,Family House,Regular,No,21,85,1.81,1.67,1.88,1.95,Stable,1.81,Good
22-13968,21,Male,Family House,Regular,Yes,29,94,1.9,1.71,1.6,1.82,Stable,1.76,Good
22-13969,22,Female,Family House,Regular,No,33,98,1.81,1.51,1.39,1.52,Stable,1.57,Excellent
22-13970,20,Female,Dorm,Irregular,Yes,24,90,2.04,1.86,1.51,1.8,Stable,1.81,Good
22-13971,22,Female,Family House,Irregular,Yes,31,87,2.02,1.74,1.31,1.68,Improving,1.7,Good
22-13972,20,Male,Dorm,Regular,No,10,75,2.39,2.08,2.19,2.25,Stable,2.24,At-Risk
22-13973,22,Female,Family House,Irregular,Yes,30,91,2.23,1.82,1.46,1.77,Improving,1.84,Good
22-13974,21,Male,Dorm,Regular,Yes,39,100,1.42,1.39,1.5,1.32,Stable,1.42,Excellent
22-13975,21,Female,Family House,Regular,Yes,29,100,1.29,1.56,1.47,1.6,Declining,1.46,Excellent
22-13976,22,Female,Family House,Regular,No,19,94,1.8,1.79,1.89,1.77,Stable,1.82,Good
22-13977,23,Female,Dorm,Regular,Yes,14,87,2.08,2.15,2.07,1.95,Stable,2.08,Good
22-13978,23,Female,Dorm,Regular,No,32,96,1.52,1.53,1.61,1.4,Stable,1.53,Excellent
22-13979,20,Male,Family House,Regular,Yes,30,88,1.71,1.6,1.83,1.5,Stable,1.68,Good
22-13980,23,Male,Dorm,Regular,No,30,88,1.92,1.71,1.9,1.85,Stable,1.85,Good
22-13981,20,Female,Dorm,Regular,No,21,84,1.67,1.75,1.89,1.8,Stable,1.77,Good
22-13982,24,Male,Family House,Regular,No,20,80,1.93,1.81,1.93,2.0,Stable,1.91,Good
22-13983,20,Male,Family House,Regular,No,8,76,2.04,2.33,2.1,2.12,Stable,2.15,At-Risk
22-13984,24,Male,Family House,Irregular,No,15,86,2.07,2.43,1.65,2.1,Stable,2.06,Good
22-13985,21,Male,Family House,Regular,No,16,87,1.96,2.11,1.89,1.77,Stable,1.96,Good
22-13986,23,Male,Family House,Regular,No,30,91,1.87,1.74,1.89,1.75,Stable,1.82,Good
22-13987,20,Female,Family House,Regular,No,30,100,1.52,1.64,1.28,1.43,Stable,1.47,Excellent
22-13988,22,Female,Family House,Regular,Yes,38,97,1.43,1.5,1.32,1.7,Stable,1.46,Excellent
22-13989,20,Female,Family House,Regular,No,25,84,1.8,1.79,1.81,2.05,Stable,1.84,Good
22-13990,21,Male,Dorm,Regular,Yes,30,84,1.73,1.67,1.74,1.65,Stable,1.7,Good
22-13991,21,Male,Dorm,Regular,No,21,90,1.73,1.83,1.86,1.65,Stable,1.78,Good
22-13992,21,Male,Family House,Regular,No,11,88,2.23,2.39,2.31,2.25,Stable,2.29,At-Risk
22-13993,24,Male,Family House,Regular,No,26,97,1.76,1.47,1.6,1.73,Stable,1.63,Excellent
22-13994,23,Male,Dorm,Regular,No,25,83,1.7,2.03,1.96,1.85,Stable,1.88,Good
22-13995,24,Female,Family House,Regular,Yes,21,90,1.64,1.89,1.94,1.73,Stable,1.8,Good
22-13996,20,Male,Family House,Regular,No,25,95,1.81,1.88,1.79,2.02,Stable,1.85,Good
22-13997,21,Female,Dorm,Regular,No,28,94,2.06,1.57,1.96,1.62,Improving,1.84,Good
22-13998,21,Female,Family House,Irregular,No,22,83,2.08,1.86,1.54,1.6,Improving,1.81,Good
22-13999,20,Male,Family House,Regular,No,16,74,2.27,2.19,2.24,2.3,Stable,2.25,At-Risk
22-14000,20,Female,Family House,Regular,Yes,15,74,2.04,2.11,2.1,1.93,Stable,2.06,Good
22-14001,23,Male,Family House,Regular,No,30,90,1.87,1.99,1.67,1.9,Stable,1.85,Good
22-14002,24,Female,Family House,Regular,No,29,85,1.87,1.96,1.68,1.85,Stable,1.84,Good
22-14003,23,Male,Family House,Regular,No,29,80,1.8,1.57,1.92,2.05,Stable,1.81,Good
22-14004,24,Female,Family House,Regular,No,28,96,1.6,1.49,1.62,2.0,Declining,1.63,Excellent
22-14005,22,Male,Family House,Regular,No,18,82,1.87,1.85,1.85,1.9,Stable,1.86,Good
22-14006,24,Female,Family House,Regular,No,35,97,1.6,1.9,1.61,1.52,Stable,1.67,Good
22-14007,20,Female,Family House,Regular,No,23,94,1.81,1.93,1.76,1.88,Stable,1.84,Good
22-14008,24,Male,Family House,Regular,No,17,91,1.86,1.92,1.93,2.1,Stable,1.93,Good
22-14009,20,Male,Family House,Irregular,No,18,85,2.08,2.14,1.69,2.23,Stable,2.01,Good
22-14010,23,Male,Family House,Regular,Yes,20,86,1.82,1.54,1.9,1.9,Stable,1.78,Good
22-14011,21,Male,Family House,Regular,No,28,84,1.95,1.94,2.12,1.77,Stable,1.97,Good
22-14012,23,Female,Dorm,Regular,No,27,92,1.9,1.93,1.89,1.62,Stable,1.87,Good
22-14013,22,Male,Dorm,Regular,No,30,86,1.81,1.92,1.71,1.68,Stable,1.79,Good
22-14014,22,Male,Family House,Regular,No,30,91,1.4,1.51,1.58,1.5,Stable,1.5,Excellent
22-14015,22,Female,Family House,Regular,Yes,25,95,1.89,1.72,1.58,1.68,Stable,1.73,Good
22-14016,24,Male,Family House,Regular,No,29,88,1.99,1.67,2.03,2.2,Stable,1.94,Good
22-14017,21,Female,Dorm,Regular,No,25,80,1.79,1.83,1.81,1.82,Stable,1.81,Good
22-14018,22,Male,Family House,Regular,Yes,30,82,1.9,1.64,1.69,1.75,Stable,1.75,Good
22-14019,24,Female,Family House,Irregular,Yes,20,87,2.18,1.78,1.65,1.6,Improving,1.84,Good
22-14020,21,Male,Family House,Regular,No,28,90,1.79,1.69,1.88,1.68,Stable,1.77,Good
22-14021,20,Female,Dorm,Regular,No,18,77,2.17,1.97,2.26,2.5,Declining,2.19,At-Risk
22-14022,22,Male,Dorm,Regular,No,29,87,1.74,1.93,1.83,1.6,Stable,1.79,Good
22-14023,23,Female,Family House,Regular,No,13,72,2.52,2.22,2.18,2.27,Stable,2.31,At-Risk
22-14024,24,Male,Family House,Regular,No,29,92,2.0,1.96,1.75,1.93,Stable,1.91,Good
22-14025,23,Female,Dorm,Regular,No,27,88,1.65,1.88,1.88,1.7,Stable,1.78,Good
22-14026,20,Female,Family House,Regular,No,27,86,1.9,1.88,1.88,2.2,Declining,1.93,Good
22-14027,22,Male,Dorm,Irregular,No,39,96,1.98,1.31,1.61,1.65,Improving,1.65,Excellent
22-14028,24,Female,Dorm,Regular,Yes,31,100,1.79,1.78,1.69,1.7,Stable,1.75,Good
22-14029,23,Female,Family House,Regular,Yes,25,87,1.82,1.83,1.64,2.02,Stable,1.81,Good
22-14030,22,Male,Dorm,Irregular,No,10,76,2.12,2.15,2.01,2.27,Stable,2.12,At-Risk
22-14031,22,Male,Dorm,Regular,No,17,82,1.99,1.97,1.93,1.73,Stable,1.93,Good
22-14032,23,Female,Family House,Irregular,No,15,83,2.29,1.89,1.57,2.12,Stable,1.96,Good
22-14033,21,Female,Family House,Regular,Yes,17,84,2.1,1.99,2.0,2.1,Stable,2.04,Good
22-14034,24,Female,Dorm,Regular,Yes,13,74,2.15,2.15,1.92,2.38,Stable,2.12,At-Risk
22-14035,24,Female,Dorm,Regular,Yes,18,81,1.89,1.99,2.21,2.23,Declining,2.05,Good
22-14036,21,Male,Family House,Regular,Yes,13,83,2.23,2.25,2.18,2.25,Stable,2.22,At-Risk
22-14037,20,Male,Family House,Regular,No,29,88,2.06,1.85,1.74,2.2,Stable,1.94,Good
22-14038,24,Female,Dorm,Regular,Yes,38,94,1.57,1.64,1.43,1.5,Stable,1.54,Excellent
22-14039,22,Female,Family House,Regular,Yes,28,100,1.74,1.53,1.61,1.52,Stable,1.62,Excellent
22-14040,23,Female,Dorm,Regular,No,16,93,1.93,1.78,1.75,1.95,Stable,1.84,Good
22-14041,22,Male,Family House,Irregular,No,26,90,2.37,1.89,1.75,2.08,Stable,2.03,Good
22-14042,20,Male,Family House,Irregular,Yes,15,75,1.9,1.97,1.75,2.1,Stable,1.91,Good
22-14043,20,Female,Dorm,Regular,No,11,80,2.12,2.21,2.08,2.15,Stable,2.14,At-Risk
22-14044,21,Male,Dorm,Irregular,No,28,80,2.2,1.79,1.56,2.05,Stable,1.9,Good
22-14045,21,Male,Dorm,Regular,No,19,81,1.88,1.99,1.64,1.75,Stable,1.82,Good
22-14046,21,Female,Dorm,Regular,No,26,92,1.55,1.64,1.65,1.77,Stable,1.63,Excellent
22-14047,22,Female,Family House,Regular,Yes,25,94,1.62,1.57,2.01,1.7,Stable,1.72,Good
22-14048,21,Male,Family House,Regular,No,38,95,1.7,1.65,1.61,1.57,Stable,1.65,Excellent
22-14049,20,Female,Family House,Regular,Yes,31,93,1.89,1.76,1.64,1.88,Stable,1.79,Good
22-14050,22,Male,Family House,Regular,No,28,93,1.88,1.99,1.96,1.9,Stable,1.93,Good
22-14051,20,Male,Family House,Regular,No,25,87,1.92,1.75,1.86,1.85,Stable,1.85,Good
22-14052,21,Female,Dorm,Regular,Yes,31,94,1.71,1.71,1.44,1.98,Stable,1.68,Good
22-14053,20,Female,Dorm,Regular,No,17,84,2.35,2.28,2.03,2.2,Stable,2.22,At-Risk
22-14054,20,Male,Family House,Regular,No,30,90,2.08,1.82,1.75,1.77,Improving,1.88,Good
22-14055,20,Female,Family House,Regular,Yes,28,95,1.61,1.53,1.58,1.68,Stable,1.59,Excellent
22-14056,20,Female,Family House,Regular,Yes,35,83,1.89,1.68,1.78,1.9,Stable,1.81,Good
22-14057,20,Female,Dorm,Regular,No,29,99,1.62,1.68,1.5,1.62,Stable,1.6,Excellent
22-14058,21,Male,Family House,Regular,No,28,80,1.94,1.75,1.97,2.02,Stable,1.91,Good
22-14059,24,Female,Family House,Regular,Yes,38,95,1.63,1.57,1.35,1.65,Stable,1.54,Excellent
22-14060,24,Female,Dorm,Irregular,No,29,90,2.17,1.69,1.76,1.52,Improving,1.84,Good
22-14061,22,Female,Dorm,Regular,No,17,88,1.98,1.79,1.83,1.93,Stable,1.88,Good
22-14062,22,Female,Family House,Irregular,No,15,88,2.3,2.32,1.96,2.23,Stable,2.2,At-Risk
22-14063,20,Male,Family House,Regular,No,10,74,2.14,2.21,2.39,2.23,Stable,2.24,At-Risk
22-14064,20,Female,Family House,Irregular,No,20,81,2.24,1.99,1.62,1.88,Improving,1.95,Good
22-14065,20,Male,Family House,Irregular,Yes,19,78,2.23,2.0,1.81,2.23,Stable,2.05,Good
22-14066,23,Female,Dorm,Regular,No,24,89,1.9,1.83,1.86,1.95,Stable,1.88,Good
22-14067,24,Female,Family House,Regular,No,13,74,2.35,2.36,2.29,2.1,Stable,2.3,At-Risk
22-14068,20,Female,Dorm,Regular,No,28,90,2.04,1.76,1.89,1.62,Improving,1.86,Good
22-14069,23,Female,Family House,Regular,No,25,96,1.52,1.62,1.33,1.3,Stable,1.47,Excellent
22-14070,21,Male,Dorm,Regular,No,29,86,1.86,1.82,1.74,2.25,Declining,1.87,Good
22-14071,22,Male,Family House,Regular,No,16,93,1.85,1.99,1.79,2.02,Stable,1.9,Good
22-14072,24,Female,Family House,Regular,No,40,91,1.46,1.6,1.75,1.65,Stable,1.6,Excellent
22-14073,20,Female,Dorm,Regular,No,8,75,2.24,2.12,2.36,2.1,Stable,2.22,At-Risk
22-14074,21,Male,Dorm,Regular,No,13,76,1.89,2.18,2.35,2.17,Stable,2.13,At-Risk
22-14075,23,Female,Family House,Regular,Yes,28,88,1.64,1.96,1.86,1.7,Stable,1.79,Good
22-14076,21,Female,Family House,Regular,No,24,80,1.65,1.97,1.92,1.77,Stable,1.83,Good
22-14077,20,Female,Family House,Regular,No,26,82,1.87,2.0,1.88,1.88,Stable,1.91,Good
22-14078,22,Male,Dorm,Regular,No,8,75,2.17,2.21,1.97,2.08,Stable,2.11,At-Risk
22-14079,20,Female,Dorm,Regular,No,38,90,1.63,1.67,1.83,1.65,Stable,1.7,Good
22-14080,24,Female,Family House,Regular,No,30,82,1.89,1.69,1.82,1.8,Stable,1.81,Good
22-14081,23,Male,Family House,Regular,No,15,88,1.79,1.89,1.86,1.98,Stable,1.86,Good
22-14082,22,Female,Dorm,Regular,No,27,95,1.9,2.0,1.61,1.73,Stable,1.82,Good
22-14083,20,Male,Family House,Regular,No,37,95,1.76,1.39,1.6,1.68,Stable,1.6,Excellent
22-14084,20,Male,Family House,Regular,No,30,92,1.45,1.56,1.5,1.48,Stable,1.5,Excellent
22-14085,20,Male,Family House,Regular,No,22,80,1.98,1.88,1.88,2.02,Stable,1.93,Good
22-14086,24,Female,Family House,Regular,Yes,32,100,1.42,1.29,1.39,1.55,Stable,1.4,Excellent
22-14087,21,Male,Dorm,Regular,Yes,26,96,1.71,1.81,1.58,1.73,Stable,1.71,Good
22-14088,21,Female,Dorm,Regular,No,35,97,1.51,1.67,1.65,1.73,Stable,1.62,Excellent
22-14089,21,Female,Dorm,Regular,No,37,95,1.61,1.51,1.47,1.43,Stable,1.52,Excellent
22-14090,24,Female,Family House,Regular,No,31,98,1.43,1.53,1.54,1.7,Stable,1.53,Excellent
22-14091,23,Female,Family House,Regular,No,34,100,1.52,1.4,1.61,1.6,Stable,1.53,Excellent
22-14092,21,Female,Family House,Regular,No,32,97,1.64,1.6,1.57,1.4,Stable,1.57,Excellent
22-14093,24,Male,Dorm,Regular,No,16,87,1.96,2.33,2.22,2.2,Stable,2.17,At-Risk
22-14094,20,Female,Family House,Regular,No,40,90,1.57,1.86,1.62,1.75,Stable,1.69,Good
22-14095,23,Female,Family House,Regular,Yes,24,91,2.11,2.22,2.06,2.08,Stable,2.12,At-Risk
22-14096,20,Female,Dorm,Irregular,No,16,80,2.3,2.28,1.81,2.2,Stable,2.15,At-Risk
22-14097,24,Female,Dorm,Regular,Yes,33,86,1.7,1.49,1.56,1.9,Stable,1.63,Excellent
22-14098,24,Male,Family House,Irregular,Yes,19,83,2.18,2.03,1.72,1.95,Stable,1.98,Good
22-14099,24,Male,Dorm,Regular,No,25,88,1.87,1.88,1.74,2.02,Stable,1.86,Good
22-14100,23,Male,Dorm,Regular,Yes,31,91,1.57,1.82,1.62,1.57,Stable,1.65,Excellent
22-14101,20,Female,Dorm,Regular,No,10,78,2.19,2.14,2.28,2.52,Declining,2.25,At-Risk
22-14102,24,Male,Dorm,Regular,No,24,89,1.99,1.86,1.74,1.73,Stable,1.85,Good
22-14103,23,Male,Family House,Regular,Yes,21,80,2.13,2.28,2.24,2.3,Stable,2.22,At-Risk
22-14104,20,Male,Dorm,Regular,No,14,70,2.04,2.04,2.24,1.88,Stable,2.07,Good
22-14105,20,Male,Dorm,Regular,No,17,82,1.87,1.88,1.9,1.95,Stable,1.89,Good
22-14106,24,Female,Dorm,Regular,Yes,40,100,1.75,1.56,1.57,1.5,Stable,1.61,Excellent
22-14107,23,Female,Family House,Regular,No,19,85,1.71,1.85,1.82,1.88,Stable,1.8,Good
22-14108,23,Male,Family House,Irregular,No,28,94,2.1,1.69,1.53,1.88,Stable,1.8,Good
22-14109,23,Female,Family House,Regular,No,27,83,1.92,2.26,1.89,1.77,Stable,1.98,Good
22-14110,23,Male,Family House,Regular,No,19,84,1.75,1.81,1.78,1.82,Stable,1.78,Good
22-14111,22,Male,Family House,Regular,Yes,23,95,1.76,1.72,1.65,2.17,Declining,1.78,Good
22-14112,21,Female,Family House,Regular,Yes,35,88,1.73,1.82,1.75,1.7,Stable,1.75,Good
22-14113,20,Female,Family House,Regular,No,9,79,2.18,2.33,2.28,2.12,Stable,2.24,At-Risk
22-14114,24,Female,Family House,Regular,No,9,81,2.19,2.32,2.24,2.17,Stable,2.24,At-Risk
22-14115,24,Male,Family House,Regular,Yes,21,89,1.61,1.88,1.86,1.52,Stable,1.74,Good
22-14116,24,Male,Family House,Regular,Yes,32,85,1.58,1.75,1.94,1.7,Stable,1.74,Good
22-14117,23,Male,Family House,Regular,No,25,91,1.67,1.57,1.72,1.65,Stable,1.65,Excellent
22-14118,21,Female,Dorm,Irregular,Yes,30,97,1.95,1.58,1.54,1.62,Improving,1.69,Good
22-14119,23,Female,Family House,Regular,No,27,93,1.88,1.79,1.96,1.93,Stable,1.88,Good
22-14120,22,Female,Dorm,Regular,Yes,29,100,1.54,1.54,1.79,1.45,Stable,1.59,Excellent
22-14121,20,Female,Family House,Regular,Yes,33,100,1.5,1.82,1.29,1.25,Stable,1.49,Excellent
22-14122,23,Female,Dorm,Irregular,No,11,86,2.4,2.06,2.01,2.4,Stable,2.21,At-Risk
22-14123,23,Male,Family House,Regular,Yes,32,98,2.05,1.69,1.81,2.0,Stable,1.88,Good
22-14124,23,Female,Dorm,Regular,No,27,92,1.71,1.58,1.62,1.6,Stable,1.64,Excellent
22-14125,20,Male,Dorm,Regular,No,21,92,2.15,2.03,2.03,1.52,Improving,1.99,Good
22-14126,23,Female,Family House,Regular,No,23,93,1.95,1.88,1.78,1.95,Stable,1.88,Good
22-14127,23,Female,Family House,Regular,No,20,72,2.31,2.25,2.18,2.2,Stable,2.24,At-Risk
22-14128,21,Male,Dorm,Regular,Yes,39,96,1.54,1.4,1.61,1.32,Stable,1.49,Excellent
22-14129,21,Female,Dorm,Regular,No,37,97,1.39,1.43,1.6,1.38,Stable,1.46,Excellent
22-14130,22,Female,Dorm,Regular,Yes,17,97,1.74,1.92,1.82,1.68,Stable,1.8,Good
22-14131,24,Female,Family House,Regular,No,31,99,1.71,1.33,1.6,1.5,Stable,1.55,Excellent
22-14132,22,Female,Dorm,Regular,No,17,89,1.73,1.81,1.99,1.77,Stable,1.82,Good
22-14133,22,Male,Family House,Irregular,No,14,80,2.18,2.28,1.82,2.0,Stable,2.08,Good
22-14134,22,Male,Family House,Regular,No,22,87,1.89,1.78,1.64,1.93,Stable,1.8,Good
22-14135,21,Male,Family House,Regular,Yes,34,94,1.75,1.71,1.75,1.7,Stable,1.73,Good
22-14136,23,Female,Dorm,Regular,No,38,93,1.69,1.38,1.32,1.8,Stable,1.52,Excellent
22-14137,21,Female,Dorm,Regular,Yes,31,87,1.98,1.76,1.83,2.05,Stable,1.89,Good
22-14138,20,Male,Dorm,Regular,Yes,28,96,1.62,1.76,1.71,1.52,Stable,1.67,Good
22-14139,22,Female,Dorm,Regular,Yes,25,75,2.06,1.97,2.15,2.2,Stable,2.08,Good
22-14140,20,Female,Dorm,Regular,No,10,81,2.32,2.22,2.22,1.65,Improving,2.17,At-Risk
22-14141,23,Female,Family House,Regular,Yes,23,75,1.99,2.0,2.06,2.08,Stable,2.02,Good
22-14142,21,Male,Family House,Regular,No,26,99,1.58,1.47,1.54,1.57,Stable,1.54,Excellent
22-14143,22,Female,Dorm,Regular,Yes,14,88,2.01,1.94,2.21,1.82,Stable,2.02,Good
22-14144,20,Female,Dorm,Regular,Yes,28,93,1.67,1.71,1.82,1.8,Stable,1.74,Good
22-14145,21,Female,Dorm,Regular,No,11,84,2.2,2.26,2.35,2.2,Stable,2.26,At-Risk
22-14146,24,Female,Family House,Regular,No,16,78,2.25,2.19,2.36,2.27,Stable,2.27,At-Risk
22-14147,24,Male,Family House,Regular,Yes,20,96,1.89,1.76,1.83,1.5,Improving,1.78,Good
22-14148,23,Female,Family House,Regular,Yes,35,100,1.51,1.46,1.64,1.32,Stable,1.5,Excellent
22-14149,22,Male,Family House,Regular,No,10,88,2.24,2.18,2.11,2.42,Stable,2.22,At-Risk
22-14150,21,Male,Family House,Irregular,Yes,28,94,2.13,1.65,1.46,1.85,Stable,1.78,Good
22-14151,23,Female,Dorm,Regular,No,36,94,1.54,1.42,1.72,1.55,Stable,1.56,Excellent
22-14152,23,Male,Family House,Regular,No,20,94,2.04,1.97,1.83,1.9,Stable,1.94,Good
22-14153,23,Female,Family House,Regular,No,21,80,1.94,1.81,2.07,2.08,Stable,1.96,Good
22-14154,21,Female,Family House,Regular,No,26,100,1.57,1.69,1.58,1.62,Stable,1.62,Excellent
22-14155,20,Male,Family House,Irregular,Yes,30,98,1.94,1.58,1.51,1.75,Stable,1.7,Good
22-14156,24,Male,Family House,Regular,No,35,99,1.58,1.68,1.68,1.52,Stable,1.63,Excellent
22-14157,20,Male,Dorm,Regular,No,17,82,1.82,1.97,1.74,2.02,Stable,1.87,Good
22-14158,20,Female,Dorm,Regular,No,30,90,1.68,1.74,1.46,1.75,Stable,1.65,Excellent
22-14159,23,Female,Dorm,Regular,No,24,86,1.7,1.97,1.96,1.82,Stable,1.86,Good
22-14160,22,Female,Family House,Regular,No,22,87,1.86,1.99,2.11,2.0,Stable,1.98,Good
22-14161,20,Female,Dorm,Regular,Yes,31,91,1.57,1.62,1.76,2.27,Declining,1.74,Good
22-14162,22,Male,Family House,Regular,No,24,90,1.94,1.97,1.83,2.12,Stable,1.95,Good
22-14163,21,Female,Family House,Regular,Yes,21,96,1.82,1.82,1.44,1.68,Stable,1.7,Good
22-14164,20,Male,Dorm,Regular,Yes,34,89,1.56,1.76,1.78,1.98,Declining,1.74,Good
22-14165,21,Male,Family House,Regular,No,16,94,1.67,1.9,1.96,1.82,Stable,1.83,Good
22-14166,22,Male,Dorm,Irregular,Yes,18,90,1.95,1.76,1.76,1.9,Stable,1.84,Good
22-14167,20,Male,Family House,Regular,No,11,72,2.36,2.19,2.08,2.33,Stable,2.24,At-Risk
22-14168,21,Female,Family House,Irregular,No,27,83,2.14,1.93,1.69,1.88,Stable,1.93,Good
22-14169,23,Male,Dorm,Regular,No,19,84,1.9,1.71,1.86,1.75,Stable,1.82,Good
22-14170,24,Male,Family House,Regular,No,27,92,1.67,1.89,2.0,1.6,Stable,1.81,Good
22-14171,22,Female,Dorm,Irregular,Yes,33,87,2.02,1.97,1.74,1.93,Stable,1.92,Good
22-14172,21,Male,Dorm,Regular,Yes,35,96,1.31,1.78,1.62,1.35,Stable,1.53,Excellent
22-14173,23,Male,Family House,Regular,Yes,16,81,2.18,2.12,2.08,2.15,Stable,2.13,At-Risk
22-14174,21,Female,Family House,Regular,Yes,26,90,1.82,1.82,1.75,1.95,Stable,1.82,Good
22-14175,20,Female,Dorm,Regular,No,17,76,2.21,2.1,2.26,2.12,Stable,2.18,At-Risk
22-14176,23,Female,Family House,Regular,No,25,91,1.71,1.75,1.56,1.95,Stable,1.72,Good
22-14177,23,Female,Dorm,Regular,No,22,80,1.89,1.93,1.86,2.1,Stable,1.93,Good
22-14178,21,Female,Family House,Irregular,No,29,89,2.29,1.75,1.64,2.15,Stable,1.95,Good
22-14179,23,Female,Family House,Regular,Yes,15,76,2.15,2.14,2.18,2.02,Stable,2.14,At-Risk
22-14180,20,Male,Family House,Regular,No,15,81,1.88,1.86,1.92,1.88,Stable,1.88,Good
22-14181,23,Female,Dorm,Regular,No,17,85,1.81,1.96,1.99,1.85,Stable,1.9,Good
22-14182,24,Female,Dorm,Regular,No,27,82,1.79,1.71,1.83,1.8,Stable,1.78,Good
22-14183,24,Male,Family House,Regular,No,34,93,1.82,1.74,1.56,1.43,Improving,1.67,Good
22-14184,23,Female,Family House,Regular,No,29,85,1.65,1.85,2.01,1.9,Stable,1.84,Good
22-14185,23,Male,Family House,Regular,Yes,29,89,1.8,1.72,1.62,1.9,Stable,1.75,Good
22-14186,24,Male,Family House,Regular,No,22,85,2.05,2.01,1.79,1.62,Improving,1.91,Good
22-14187,22,Male,Dorm,Regular,No,29,90,1.81,1.75,1.64,1.65,Stable,1.72,Good
22-14188,21,Female,Family House,Regular,No,28,90,1.43,1.62,1.74,1.82,Declining,1.62,Excellent
22-14189,23,Male,Family House,Regular,No,16,74,2.12,2.33,2.42,2.15,Stable,2.26,At-Risk
22-14190,23,Female,Family House,Regular,No,27,97,1.48,1.65,1.71,1.55,Stable,1.6,Excellent
22-14191,23,Male,Family House,Regular,No,39,94,1.48,1.86,1.44,1.48,Stable,1.57,Excellent
22-14192,21,Male,Dorm,Irregular,No,25,93,2.3,1.54,1.54,1.7,Improving,1.8,Good
22-14193,23,Male,Family House,Regular,Yes,36,99,1.25,1.4,1.44,1.57,Declining,1.39,Excellent
